Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
vethc401548:    3598      51    0    0    0     0          0         0 592503232  664804    0    0    0     0       0          0
vethd1e8802:       0       0    0    0    0     0          0         0 592495446  664739    0    0    0     0       0          0
vethe2cd54f:    3582      51    0    0    0     0          0         0 592503552  664812    0    0    0     0       0          0
usermode:  449364    3919    0    0    0     0          0         0    20174     173    0    0    0     0       0          0
vethbdb5f64:    4132      58    0    0    0     0          0         0 592504870  664823    0    0    0     0       0          0
veth06b8882:    4148      58    0    0    0     0          0         0 592505330  664833    0    0    0     0       0          0
veth9e52739:    4132      58    0    0    0     0          0         0 592505062  664827    0    0    0     0       0          0
veth7c0d679:    4158      59    0    0    0     0          0         0 592504770  664821    0    0    0     0       0          0
 mgmt1:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
veth874a4ed:       0       0    0    0    0     0          0         0 592496370  664761    0    0    0     0       0          0
veth7ff82b2:    4158      59    0    0    0     0          0         0 592504896  664824    0    0    0     0       0          0
veth676cb59:    4116      58    0    0    0     0          0         0 592505298  664833    0    0    0     0       0          0
veth46b11d3:    3540      50    0    0    0     0          0         0 592503342  664807    0    0    0     0       0          0
veth63d4f07:    3556      50    0    0    0     0          0         0 592503526  664811    0    0    0     0       0          0
vethf6ea3d7: 5098678   58194    0    0    0     0          0         0 609478062  715181    0    0    0     0       0          0
veth6a20ae2:    3598      51    0    0    0     0          0         0 592503148  664802    0    0    0     0       0          0
vethc647f9c:    3540      50    0    0    0     0          0         0 592503342  664807    0    0    0     0       0          0
veth4eb3f8a:       0       0    0    0    0     0          0         0 592497024  664776    0    0    0     0       0          0
    lo: 24433256938 55834478    0    0    0     0          0         0 24433256938 55834478    0    0    0     0       0          0
veth16eb12b:    4116      58    0    0    0     0          0         0 592505130  664829    0    0    0     0       0          0
 mgmt0: 21493598205 39560517    0    0    0     0          0         0 8893646531 25626311    0    0    0     0       0          0
veth45bb9b8:    3598      51    0    0    0     0          0         0 592503148  664802    0    0    0     0       0          0
veth72f61ea:       0       0    0    0    0     0          0         0 592497024  664776    0    0    0     0       0          0
veth34c4142:       0       0    0    0    0     0          0         0 592496244  664758    0    0    0     0       0          0
veth2e73ef6:    4148      58    0    0    0     0          0         0 592505330  664833    0    0    0     0       0          0
veth86cfdc2:    3598      51    0    0    0     0          0         0 592503232  664804    0    0    0     0       0          0
veth95ac83e:    3598      51    0    0    0     0          0         0 592503526  664811    0    0    0     0       0          0
veth237e8e3:   10372     146    0    0    0     0          0         0 592517122  664897    0    0    0     0       0          0
veth4a6528b:    4174      59    0    0    0     0          0         0 592504828  664822    0    0    0     0       0          0
veth36f5f66:       0       0    0    0    0     0          0         0 592496772  664770    0    0    0     0       0          0
vethd531014:    3556      50    0    0    0     0          0         0 592503190  664803    0    0    0     0       0          0
vethc28587c: 5126155971 15906644    0    0    0     0          0         0 22376563397 21448851    0    0    0     0       0          0
 mgmt2: 38758532460 78257976    0    0    0     0          0         0 11666165360 74856970    0    0    0     0       0          0
docker_gwbridge: 15713071529 81063807    0    0    0     0          0         0 72618982081 81306836    0    0    0     0       0          0
veth65f9fa0:   17214     243    0    0    0     0          0         0 592531500  665002    0    0    0     0       0          0
   ib1: 157149372 1323290    0    0    0     0          0         0  5955084   99249    0    0    0     0       0          0
   ib0: 4828965068 23837574    0    0    0     0          0         0 4209864628 26019919    0    0    0     0       0          0
veth7bd5de8:    4116      58    0    0    0     0          0         0 592505298  664833    0    0    0     0       0          0
docker0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
vethb66e91f:    3556      50    0    0    0     0          0         0 592503106  664801    0    0    0     0       0          0
