Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
vethc401548:    3598      51    0    0    0     0          0         0 582649990  653444    0    0    0     0       0          0
vethd1e8802:       0       0    0    0    0     0          0         0 582642204  653379    0    0    0     0       0          0
vethe2cd54f:    3582      51    0    0    0     0          0         0 582650310  653452    0    0    0     0       0          0
usermode:  444304    3873    0    0    0     0          0         0    20174     173    0    0    0     0       0          0
vethbdb5f64:    4132      58    0    0    0     0          0         0 582651628  653463    0    0    0     0       0          0
veth06b8882:    4148      58    0    0    0     0          0         0 582652088  653473    0    0    0     0       0          0
veth9e52739:    4132      58    0    0    0     0          0         0 582651820  653467    0    0    0     0       0          0
veth7c0d679:    4158      59    0    0    0     0          0         0 582651528  653461    0    0    0     0       0          0
 mgmt1:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
veth874a4ed:       0       0    0    0    0     0          0         0 582643128  653401    0    0    0     0       0          0
veth7ff82b2:    4158      59    0    0    0     0          0         0 582651654  653464    0    0    0     0       0          0
veth676cb59:    4116      58    0    0    0     0          0         0 582652056  653473    0    0    0     0       0          0
veth46b11d3:    3540      50    0    0    0     0          0         0 582650100  653447    0    0    0     0       0          0
veth63d4f07:    3556      50    0    0    0     0          0         0 582650284  653451    0    0    0     0       0          0
vethf6ea3d7: 4992283   56977    0    0    0     0          0         0 599269804  702775    0    0    0     0       0          0
veth6a20ae2:    3598      51    0    0    0     0          0         0 582649906  653442    0    0    0     0       0          0
vethc647f9c:    3540      50    0    0    0     0          0         0 582650100  653447    0    0    0     0       0          0
veth4eb3f8a:       0       0    0    0    0     0          0         0 582643782  653416    0    0    0     0       0          0
    lo: 24149144106 55169240    0    0    0     0          0         0 24149144106 55169240    0    0    0     0       0          0
veth16eb12b:    4116      58    0    0    0     0          0         0 582651888  653469    0    0    0     0       0          0
 mgmt0: 21254494518 39131054    0    0    0     0          0         0 8796940361 25337500    0    0    0     0       0          0
veth45bb9b8:    3598      51    0    0    0     0          0         0 582649906  653442    0    0    0     0       0          0
veth72f61ea:       0       0    0    0    0     0          0         0 582643782  653416    0    0    0     0       0          0
veth34c4142:       0       0    0    0    0     0          0         0 582643002  653398    0    0    0     0       0          0
veth2e73ef6:    4148      58    0    0    0     0          0         0 582652088  653473    0    0    0     0       0          0
veth86cfdc2:    3598      51    0    0    0     0          0         0 582649990  653444    0    0    0     0       0          0
veth95ac83e:    3598      51    0    0    0     0          0         0 582650284  653451    0    0    0     0       0          0
veth237e8e3:   10372     146    0    0    0     0          0         0 582663880  653537    0    0    0     0       0          0
veth4a6528b:    4174      59    0    0    0     0          0         0 582651586  653462    0    0    0     0       0          0
veth36f5f66:       0       0    0    0    0     0          0         0 582643530  653410    0    0    0     0       0          0
vethd531014:    3556      50    0    0    0     0          0         0 582649948  653443    0    0    0     0       0          0
vethc28587c: 5006179119 15566896    0    0    0     0          0         0 21910627502 20991492    0    0    0     0       0          0
 mgmt2: 38296564146 77330928    0    0    0     0          0         0 11526928880 73964142    0    0    0     0       0          0
docker_gwbridge: 15516494209 80094838    0    0    0     0          0         0 71757693355 80334446    0    0    0     0       0          0
veth65f9fa0:   17214     243    0    0    0     0          0         0 582678258  653642    0    0    0     0       0          0
   ib1: 155665548 1311436    0    0    0     0          0         0  5883504   98056    0    0    0     0       0          0
   ib0: 4771375320 23555227    0    0    0     0          0         0 4159125100 25706791    0    0    0     0       0          0
veth7bd5de8:    4116      58    0    0    0     0          0         0 582652056  653473    0    0    0     0       0          0
docker0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
vethb66e91f:    3556      50    0    0    0     0          0         0 582649864  653441    0    0    0     0       0          0
