Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
vethd7af9d1:    4256      60    0    0    0     0          0         0     7400      78    0    0    0     0       0          0
vethf2e0e2e:       0       0    0    0    0     0          0         0     1100      18    0    0    0     0       0          0
vethc876fb7:    4214      59    0    0    0     0          0         0     8240      98    0    0    0     0       0          0
veth729be1c:   37568     242    0    0    0     0          0         0    55919     243    0    0    0     0       0          0
  ens1:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  ens2: 46001035979 46896790    0    2    0     0          0         0 4402856753 18381737    0    0    0     0       0          0
  ens3:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  ens4:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
vethb1e52d2:    4246      59    0    0    0     0          0         0     7726      85    0    0    0     0       0          0
vetha42e077:    4256      60    0    0    0     0          0         0     8282      99    0    0    0     0       0          0
veth050e1a0: 125501610  109947    0    0    0     0          0         0 71519668  112997    0    0    0     0       0          0
veth6330716:       0       0    0    0    0     0          0         0     1016      16    0    0    0     0       0          0
veth6ed7766:    4288      60    0    0    0     0          0         0     7558      81    0    0    0     0       0          0
vethc119042:    4246      59    0    0    0     0          0         0     7936      90    0    0    0     0       0          0
 bond0: 3034630257066 5378678770    0    0    0     0          0         0 61413454336532 17612309123    0    0    0     0       0          0
vetha66b354:    3646      51    0    0    0     0          0         0     6330      65    0    0    0     0       0          0
  eth0:  317887    2801    0    0    0     0          0         0    48775     378    0    0    0     0       0          0
veth8f853c6:    4246      59    0    0    0     0          0         0     7810      87    0    0    0     0       0          0
veth0e10876:       0       0    0    0    0     0          0         0     1772      34    0    0    0     0       0          0
veth1890fa9:    4288      60    0    0    0     0          0         0     7600      82    0    0    0     0       0          0
    lo: 368031786  950702    0    0    0     0          0         0 368031786  950702    0    0    0     0       0          0
enp1s0: 3034630257066 5378678770    0    0    0     0          0      2617 61413454336532 17612309123    0    0    0     0       0          0
veth568f8b0:       0       0    0    0    0     0          0         0     1058      17    0    0    0     0       0          0
vethae16e0e:    4214      59    0    0    0     0          0         0     8240      98    0    0    0     0       0          0
vethc932bcb:    4246      59    0    0    0     0          0         0     8272      98    0    0    0     0       0          0
vethde1cde6:    4246      59    0    0    0     0          0         0     8272      98    0    0    0     0       0          0
veth8d752f1:   14800     205    0    0    0     0          0         0    22940     224    0    0    0     0       0          0
vetha4fc92e:    4214      59    0    0    0     0          0         0     7484      80    0    0    0     0       0          0
veth3921730:    4246      59    0    0    0     0          0         0     8020      92    0    0    0     0       0          0
vethbee3492:    4246      59    0    0    0     0          0         0     8020      92    0    0    0     0       0          0
veth9c5cdac:       0       0    0    0    0     0          0         0      698       9    0    0    0     0       0          0
vetha4b1f26:    4256      60    0    0    0     0          0         0     7694      85    0    0    0     0       0          0
veth7efacaa:    4624      64    0    0    0     0          0         0     8062      89    0    0    0     0       0          0
veth3aa4d71:       0       0    0    0    0     0          0         0      698       9    0    0    0     0       0          0
docker_gwbridge: 416269023  666641    0    0    0     0          0         0 813463951  763303    0    0    0     0       0          0
veth25e16b2:    4214      59    0    0    0     0          0         0     7904      90    0    0    0     0       0          0
vethd34feff:    4822      67    0    0    0     0          0         0     8552      92    0    0    0     0       0          0
veth5bcc126:    3630      51    0    0    0     0          0         0     6356      66    0    0    0     0       0          0
docker0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
veth5fc0fbb:   86559     903    0    0    0     0          0         0    58508     921    0    0    0     0       0          0
veth3371773:       0       0    0    0    0     0          0         0     1142      19    0    0    0     0       0          0
